Order Date,Ship Mode,Customer Name,Segment,City,Product Name,Sales
2019-01-03,Standard Class,Darren Powers,Consumer,Houston,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45
2019-01-04,Standard Class,Phillina Ober,Home Office,Naperville,Avery 508,11.78
2019-01-04,Standard Class,Phillina Ober,Home Office,Naperville,SAFCO Boltless Steel Shelving,272.74
2019-01-04,Standard Class,Phillina Ober,Home Office,Naperville,GBC Standard Plastic Binding Systems Combs,3.54
2019-01-05,Standard Class,Mick Brown,Consumer,Philadelphia,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54
2019-01-06,Standard Class,Maria Etezadi,Home Office,Henderson,Rogers Handheld Barrel Pencil Sharpener,5.48
2019-01-06,Standard Class,Maria Etezadi,Home Office,Henderson,Global Deluxe High-Back Manager's Chair,2573.82
2019-01-06,Standard Class,Maria Etezadi,Home Office,Henderson,Ibico Hi-Tech Manual Binding System,609.98
2019-01-06,First Class,Jack O'Briant,Corporate,Athens,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78
2019-01-06,Standard Class,Maria Etezadi,Home Office,Henderson,GE 30524EE4,391.98
2019-01-06,Standard Class,Maria Etezadi,Home Office,Henderson,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96
2019-01-06,Standard Class,Maria Etezadi,Home Office,Henderson,"Alliance Super-Size Bands, Assorted Sizes",31.12
2019-01-06,Standard Class,Maria Etezadi,Home Office,Henderson,Southworth 25% Cotton Granite Paper & Envelopes,6.54
2019-01-06,Second Class,Lycoris Saunders,Consumer,Los Angeles,Xerox 225,19.44
2019-01-07,Standard Class,Vivek Sundaresam,Consumer,Huntsville,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73
2019-01-07,Standard Class,Vivek Sundaresam,Consumer,Huntsville,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43
2019-01-09,Standard Class,Melanie Seite,Consumer,Laredo,Newell 312,9.34
2019-01-09,Standard Class,Melanie Seite,Consumer,Laredo,Memorex Micro Travel Drive 8 GB,31.2
2019-01-10,Standard Class,Anthony Jacobs,Corporate,Springfield,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94
2019-01-10,Standard Class,Anthony Jacobs,Corporate,Springfield,Avery 482,2.89
2019-01-11,First Class,Seth Vernon,Consumer,Dover,"DAX Value U-Channel Document Frames, Easel Back",9.94
2019-01-13,Second Class,Chris Selesnick,Corporate,Bossier City,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58
2019-01-13,Second Class,Chris Selesnick,Corporate,Bossier City,3-ring staple pack,5.64
2019-01-13,Standard Class,Brian Dahlen,Consumer,San Francisco,4009 Highlighters by Sanford,19.9
2019-01-13,Standard Class,Michael Moore,Consumer,Newark,Avery Metallic Poly Binders,3.44
2019-01-13,Standard Class,Brian Dahlen,Consumer,San Francisco,Tennsco 6- and 18-Compartment Lockers,1325.85
2019-01-13,Standard Class,Michael Moore,Consumer,Newark,Xerox 1923,37.41
2019-01-13,Second Class,Chris Selesnick,Corporate,Bossier City,Staple envelope,11.36
2019-01-13,Second Class,Natalie DeCherney,Consumer,Mount Pleasant,Global Highback Leather Tilter in Burgundy,545.94
2019-01-13,Standard Class,Brian Dahlen,Consumer,San Francisco,"O'Sullivan Elevations Bookcase, Cherry Finish",334.0
2019-01-13,Second Class,Chris Selesnick,Corporate,Bossier City,Brown Kraft Recycled Envelopes,50.94
2019-01-13,Second Class,Chris Selesnick,Corporate,Bossier City,Plantronics S12 Corded Telephone Headset System,646.74
2019-01-14,First Class,Brendan Sweed,Corporate,Philadelphia,Sauder Cornerstone Collection Library,61.96
2019-01-15,First Class,Erica Hackney,Consumer,Roswell,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95
2019-01-16,Second Class,Delfina Latchford,Consumer,Philadelphia,Round Specialty Laser Printer Labels,30.07
2019-01-16,Second Class,Delfina Latchford,Consumer,Philadelphia,DAX Black Cherry Wood-Tone Poster Frame,127.1
2019-01-16,Second Class,Delfina Latchford,Consumer,Philadelphia,AT&T 841000 Phone,124.2
2019-01-16,Second Class,Delfina Latchford,Consumer,Philadelphia,GBC Linen Binding Covers,18.59
2019-01-18,Second Class,David Wiener,Corporate,Springfield,Fellowes Mighty 8 Compact Surge Protector,64.86
2019-01-19,First Class,Toby Swindell,Consumer,Scottsdale,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34
2019-01-19,First Class,Toby Swindell,Consumer,Scottsdale,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06
2019-01-19,First Class,Toby Swindell,Consumer,Scottsdale,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72
2019-01-19,First Class,Toby Swindell,Consumer,Scottsdale,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47
2019-01-20,Standard Class,,Consumer,Westland,Ultra Door Push Plate,14.73
2019-01-20,Standard Class,,Consumer,Westland,Storex Dura Pro Binders,29.7
2019-01-20,Standard Class,Mark Van Huff,Consumer,Los Angeles,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36
2019-01-20,Standard Class,Muhammed MacIntyre,Corporate,Smyrna,GBC DocuBind TL200 Manual Binding Machine,67.19
2019-01-20,Standard Class,,Consumer,Westland,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92
2019-01-20,Standard Class,Hunter Lopez,Consumer,Jonesboro,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6
2019-01-20,Standard Class,Hunter Lopez,Consumer,Jonesboro,Newell 327,6.63
2019-01-20,Standard Class,,Consumer,Westland,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58
